date,x,y,z,vx,vy,vz
A.D. 2023-Apr-28 00:00:00.0000,-1.303430231184124,1.027501275581901,0.05350707203154154,-0.008136521397281672,-0.009796913262306398,-5.738750797190472e-06
A.D. 2023-Apr-29 00:00:00.0000,-1.311524558547128,1.017671273032561,0.05349960479020253,-0.00805205432050945,-0.00986297965832753,-9.195313099104958e-06
A.D. 2023-Apr-30 00:00:00.0000,-1.319534182539045,1.00777554110504,0.05348868226144294,-0.007967115382063973,-0.009928371628194396,-1.264931401357816e-05
A.D. 2023-May-01 00:00:00.0000,-1.327458633565871,0.9978147553822937,0.05347430708584712,-0.007881709128546513,-0.009993086843562253,-1.610058814443573e-05
A.D. 2023-May-02 00:00:00.0000,-1.335297446566878,0.9877895937691574,0.0534564820638393,-0.007795840092325482,-0.01005712299699501,-1.954897513970125e-05
A.D. 2023-May-03 00:00:00.0000,-1.343050161009558,0.9777007364776973,0.0534352101554279,-0.007709512790277214,-0.01012047779907427,-2.299432055328159e-05
A.D. 2023-May-04 00:00:00.0000,-1.350716320883805,0.9675488660137002,0.05341049447957167,-0.007622731731200825,-0.01018314896817708,-2.643647177253682e-05
A.D. 2023-May-05 00:00:00.0000,-1.358295474696028,0.9573346671628347,0.05338233831338079,-0.007535501425083736,-0.01024513422426893,-2.987527283950156e-05
A.D. 2023-May-06 00:00:00.0000,-1.36578717546449,0.9470588269760555,0.05335074509171614,-0.007447826384601093,-0.01030643129507003,-3.331056384046467e-05
A.D. 2023-May-07 00:00:00.0000,-1.373190980715919,0.936722034755356,0.05331571840727285,-0.00735971112122436,-0.01036703792727086,-3.674218367217724e-05
A.D. 2023-May-08 00:00:00.0000,-1.380506452482072,0.9263249820407207,0.0532772620105987,-0.007271160143700842,-0.0104269518924476,-4.016997162345126e-05
A.D. 2023-May-09 00:00:00.0000,-1.387733157295308,0.9158683625975069,0.05323537980956439,-0.007182177956902803,-0.01048617098405503,-4.359376817969646e-05
A.D. 2023-May-10 00:00:00.0000,-1.394870666183823,0.9053528724031877,0.05319007586848067,-0.00709276905635196,-0.01054469300801254,-4.701341730195679e-05
A.D. 2023-May-11 00:00:00.0000,-1.401918554667843,0.8947792096339636,0.05314135440749422,-0.007002937924235058,-0.01060251577348627,-5.042876776854723e-05
A.D. 2023-May-12 00:00:00.0000,-1.40887640275709,0.8841480746526529,0.05308921980252702,-0.006912689036207511,-0.01065963709189478,-5.383966969020672e-05
A.D. 2023-May-13 00:00:00.0000,-1.415743794948512,0.873460169997914,0.05303367658533396,-0.006822026873249508,-0.01071605478427714,-5.724596922471694e-05
A.D. 2023-May-14 00:00:00.0000,-1.422520320223444,0.8627162003732971,0.05297472944318166,-0.006730955925370231,-0.01077176668666976,-6.06475072919939e-05
A.D. 2023-May-15 00:00:00.0000,-1.429205572044802,0.8519168726351429,0.05291238321831276,-0.006639480685408853,-0.01082677065034412,-6.404412276340765e-05
A.D. 2023-May-16 00:00:00.0000,-1.4357991483553,0.8410628957801528,0.05284664290769102,-0.006547605640148059,-0.0108810645430243,-6.743565705098142e-05
A.D. 2023-May-17 00:00:00.0000,-1.442300651576381,0.8301549809341223,0.05277751366300482,-0.006455335265590087,-0.01093464625038839,-7.082195690009378e-05
A.D. 2023-May-18 00:00:00.0000,-1.448709688606656,0.819193841342082,0.05270500079040216,-0.006362674028908694,-0.01098751366971748,-7.42028734578134e-05
A.D. 2023-May-19 00:00:00.0000,-1.455025870819708,0.8081801923586608,0.05262910974982219,-0.006269626395922664,-0.01103966469802036,-7.757825788654097e-05
A.D. 2023-May-20 00:00:00.0000,-1.46124881406265,0.7971147514377234,0.05254984615448664,-0.006176196837637247,-0.01109109722963815,-8.094795767056612e-05
A.D. 2023-May-21 00:00:00.0000,-1.467378138656302,0.7859982381217672,0.05246721577098577,-0.006082389830320279,-0.01114180916683845,-8.431181714704304e-05
A.D. 2023-May-22 00:00:00.0000,-1.473413469396091,0.774831374032196,0.05238122451961705,-0.005988209853394352,-0.01119179843075954,-8.766967960436645e-05
A.D. 2023-May-23 00:00:00.0000,-1.479354435552258,0.7636148828603827,0.05229187847432159,-0.005893661388877237,-0.01124106296319415,-9.102138817814373e-05
A.D. 2023-May-24 00:00:00.0000,-1.48520067086931,0.7523494903583119,0.05219918386208983,-0.005798748917971694,-0.01128960072045543,-9.436678744559301e-05
A.D. 2023-May-25 00:00:00.0000,-1.490951813565948,0.7410359243285067,0.05210314706235956,-0.005703476913956641,-0.01133740966479542,-9.770572646192725e-05
A.D. 2023-May-26 00:00:00.0000,-1.496607506336274,0.7296749146145429,0.0520037746068804,-0.005607849841217356,-0.0113844877585422,-0.0001010380588659617
A.D. 2023-May-27 00:00:00.0000,-1.502167396351746,0.7182671930931456,0.05190107317990311,-0.005511872166165209,-0.0114308329652241,-0.0001043636376087339
A.D. 2023-May-28 00:00:00.0000,-1.507631135262885,0.7068134936668787,0.05179504961818814,-0.005415548368267843,-0.01147644325563147,-0.0001076823100381343
A.D. 2023-May-29 00:00:00.0000,-1.512998379200741,0.6953145522557982,0.05168571091069205,-0.005318882939225037,-0.01152131661140522,-0.0001109939186804405
A.D. 2023-May-30 00:00:00.0000,-1.518268788779119,0.6837711067880635,0.05157306419835258,-0.005221880374249033,-0.01156545102660707,-0.0001142983057500736
A.D. 2023-May-31 00:00:00.0000,-1.523442029097874,0.6721838971909889,0.05145711677422812,-0.00512454516500584,-0.01160884451083034,-0.0001175953170939676
A.D. 2023-Jun-01 00:00:00.0000,-1.528517769746262,0.6605536653834745,0.05133787608359866,-0.00502688179826941,-0.01165149508859165,-0.000120884803292984
A.D. 2023-Jun-02 00:00:00.0000,-1.533495684805467,0.6488811552691016,0.05121534972358864,-0.004928894759148027,-0.01169340078912877,-0.0001241666177452363
A.D. 2023-Jun-03 00:00:00.0000,-1.538375452851124,0.6371671127287175,0.05108954544260265,-0.004830588537218707,-0.01173455963544525,-0.0001274406127945153
A.D. 2023-Jun-04 00:00:00.0000,-1.543156756957311,0.6254122856124381,0.05096047114025382,-0.004731967631275507,-0.01177496964749502,-0.0001307066372956302
A.D. 2023-Jun-05 00:00:00.0000,-1.54783928470198,0.6136174237320448,0.05082813486783921,-0.004633036549801733,-0.01181462885558938,-0.0001339645373594747
A.D. 2023-Jun-06 00:00:00.0000,-1.55242272817231,0.601783278854251,0.05069254482869691,-0.004533799810382196,-0.01185353530841038,-0.0001372141576582015
A.D. 2023-Jun-07 00:00:00.0000,-1.556906783969133,0.5899106046939286,0.05055370937798337,-0.004434261938015143,-0.01189168707056663,-0.0001404553425303417
A.D. 2023-Jun-08 00:00:00.0000,-1.56129115321125,0.5780001569063873,0.05041163702216494,-0.004334427458913,-0.0119290822156364,-0.0001436879387482982
A.D. 2023-Jun-09 00:00:00.0000,-1.565575541540815,0.5660526930794002,0.05026633641880704,-0.004234300893829727,-0.01196571882000409,-0.0001469117984622628
A.D. 2023-Jun-10 00:00:00.0000,-1.56975965912974,0.5540689727264839,0.0501178163767708,-0.004133886761730105,-0.01200159495927563,-0.000150126777235272
A.D. 2023-Jun-11 00:00:00.0000,-1.573843220686161,0.5420497572814593,0.0499660858564165,-0.004033189593214676,-0.01203670870955186,-0.0001533327275841501
A.D. 2023-Jun-12 00:00:00.0000,-1.577825945460557,0.5299958100926025,0.04981115396950975,-0.003932213938091876,-0.01207105815211796,-0.0001565294956278602
