API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sun Apr  5 18:55:17 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Jupiter (599)                   {source: jup365_merged}
Center body name: Sun (10)                        {source: jup365_merged}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2022-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2026-Dec-31 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2459590.500000000, A.D. 2022-Jan-11 00:00:00.0000,  4.683781423901589E+00, -1.720312218202952E+00, -9.764613773644829E-02,  2.514642257721350E-03,  7.445693702851267E-03, -8.718474773813801E-05,
2459591.500000000, A.D. 2022-Jan-12 00:00:00.0000,  4.686291041535234E+00, -1.712864344779917E+00, -9.773319245224714E-02,  2.504310223427686E-03,  7.450716493512049E-03, -8.690562741015059E-05,
2459592.500000000, A.D. 2022-Jan-13 00:00:00.0000,  4.688788899406517E+00, -1.705411382352463E+00, -9.781998809477280E-02,  2.491802432964525E-03,  7.454494816467931E-03, -8.670468644694521E-05,
2459593.500000000, A.D. 2022-Jan-14 00:00:00.0000,  4.691275485640627E+00, -1.697954743468457E+00, -9.790656552478104E-02,  2.480836010280612E-03,  7.459164772422183E-03, -8.644404375405057E-05,
2459594.500000000, A.D. 2022-Jan-15 00:00:00.0000,  4.693750212301188E+00, -1.690493980876396E+00, -9.799291478845812E-02,  2.469280800023542E-03,  7.462248215011702E-03, -8.624879919551745E-05,
2459595.500000000, A.D. 2022-Jan-16 00:00:00.0000,  4.696213945487410E+00, -1.683029321834128E+00, -9.807903273144826E-02,  2.457528794364988E-03,  7.466806561662334E-03, -8.600690605436743E-05,
2459596.500000000, A.D. 2022-Jan-17 00:00:00.0000,  4.698665927340073E+00, -1.675561414412457E+00, -9.816495530302688E-02,  2.447124953569015E-03,  7.469473547819738E-03, -8.581007474397073E-05,
2459597.500000000, A.D. 2022-Jan-18 00:00:00.0000,  4.701107562816067E+00, -1.668089472511501E+00, -9.825062853718966E-02,  2.435784833610119E-03,  7.473940054951156E-03, -8.555834067796412E-05,
2459598.500000000, A.D. 2022-Jan-19 00:00:00.0000,  4.703538283049818E+00, -1.660613649014592E+00, -9.833606422957025E-02,  2.425571949262480E-03,  7.478407173923803E-03, -8.528965060067299E-05,
2459599.500000000, A.D. 2022-Jan-20 00:00:00.0000,  4.705957482737808E+00, -1.653132943492656E+00, -9.842123721716918E-02,  2.413040776988509E-03,  7.482211206624235E-03, -8.508114885529707E-05,
2459600.500000000, A.D. 2022-Jan-21 00:00:00.0000,  4.708365375879142E+00, -1.645648842694837E+00, -9.850619590943384E-02,  2.402345299654012E-03,  7.486515171376620E-03, -8.482291197096170E-05,
2459601.500000000, A.D. 2022-Jan-22 00:00:00.0000,  4.710761591795268E+00, -1.638160684694699E+00, -9.859091931688491E-02,  2.390701116159176E-03,  7.489524266980953E-03, -8.462482188464439E-05,
2459602.500000000, A.D. 2022-Jan-23 00:00:00.0000,  4.713146942771957E+00, -1.630668853230347E+00, -9.867541064758573E-02,  2.379305865756740E-03,  7.494076712645699E-03, -8.437119096716252E-05,
2459603.500000000, A.D. 2022-Jan-24 00:00:00.0000,  4.715520560199266E+00, -1.623173672096223E+00, -9.875969673564136E-02,  2.368712094893249E-03,  7.496573659802477E-03, -8.417785625324569E-05,
2459604.500000000, A.D. 2022-Jan-25 00:00:00.0000,  4.717883962904589E+00, -1.615674628359062E+00, -9.884373221371046E-02,  2.357593821562111E-03,  7.501167443489130E-03, -8.391262641692608E-05,
2459605.500000000, A.D. 2022-Jan-26 00:00:00.0000,  4.720236427876179E+00, -1.608171665454971E+00, -9.892752331725385E-02,  2.347427708016474E-03,  7.505444191349476E-03, -8.364398655393953E-05,
2459606.500000000, A.D. 2022-Jan-27 00:00:00.0000,  4.722577549684109E+00, -1.600663709446897E+00, -9.901103901847680E-02,  2.334807039501684E-03,  7.509640494515756E-03, -8.341695771368635E-05,
2459607.500000000, A.D. 2022-Jan-28 00:00:00.0000,  4.724907115217282E+00, -1.593152289798757E+00, -9.909433603111133E-02,  2.324072289583277E-03,  7.513810914459131E-03, -8.315823493777473E-05,
2459608.500000000, A.D. 2022-Jan-29 00:00:00.0000,  4.727224908276817E+00, -1.585636683651581E+00, -9.917738826542163E-02,  2.312023413324225E-03,  7.516959175093854E-03, -8.295453173326864E-05,
2459609.500000000, A.D. 2022-Jan-30 00:00:00.0000,  4.729531569015969E+00, -1.578117533397239E+00, -9.926021002997996E-02,  2.300615942484415E-03,  7.521457894880530E-03, -8.269579873383616E-05,
2459610.500000000, A.D. 2022-Jan-31 00:00:00.0000,  4.731826184966600E+00, -1.570594969337847E+00, -9.934282201793920E-02,  2.289448173845592E-03,  7.523738556744767E-03, -8.251221917265687E-05,
2459611.500000000, A.D. 2022-Feb-01 00:00:00.0000,  4.734110350375857E+00, -1.563068912832865E+00, -9.942519342811207E-02,  2.278297007228022E-03,  7.528166541271057E-03, -8.224634880049683E-05,
2459612.500000000, A.D. 2022-Feb-02 00:00:00.0000,  4.736383330103264E+00, -1.555539172401691E+00, -9.950732520664871E-02,  2.267936663840567E-03,  7.531925996899270E-03, -8.199141618880002E-05,
2459613.500000000, A.D. 2022-Feb-03 00:00:00.0000,  4.738645036582314E+00, -1.548004736141283E+00, -9.958918339547261E-02,  2.255266833026778E-03,  7.536138029726803E-03, -8.175700912383202E-05,
2459614.500000000, A.D. 2022-Feb-04 00:00:00.0000,  4.740894968018179E+00, -1.540467102674604E+00, -9.967082847307460E-02,  2.244535757047085E-03,  7.539788195228676E-03, -8.150967701766543E-05,
2459615.500000000, A.D. 2022-Feb-05 00:00:00.0000,  4.743133219381527E+00, -1.532925516388353E+00, -9.975222836770337E-02,  2.232351548325881E-03,  7.542823104410832E-03, -8.130451109726531E-05,
2459616.500000000, A.D. 2022-Feb-06 00:00:00.0000,  4.745360320024761E+00, -1.525380752481925E+00, -9.983340355812299E-02,  2.221242931356405E-03,  7.547007085654269E-03, -8.104499403375904E-05,
2459617.500000000, A.D. 2022-Feb-07 00:00:00.0000,  4.747575458784424E+00, -1.517832638389963E+00, -9.991436301687705E-02,  2.209864568916516E-03,  7.549087044954690E-03, -8.086542184516966E-05,
2459618.500000000, A.D. 2022-Feb-08 00:00:00.0000,  4.749780240149600E+00, -1.510281398395470E+00, -9.999508750426797E-02,  2.199066118785640E-03,  7.553367915928933E-03, -8.059342653324975E-05,
2459619.500000000, A.D. 2022-Feb-09 00:00:00.0000,  4.751973948007670E+00, -1.502726552826441E+00, -1.000755673049177E-01,  2.188767502657843E-03,  7.556837524989063E-03, -8.034165426808896E-05,
2459620.500000000, A.D. 2022-Feb-10 00:00:00.0000,  4.754156712674667E+00, -1.495167099041921E+00, -1.001557654498340E-01,  2.176345531839454E-03,  7.561348678068629E-03, -8.008685849549602E-05,
2459621.500000000, A.D. 2022-Feb-11 00:00:00.0000,  4.756327651687689E+00, -1.487604337314633E+00, -1.002357417121497E-01,  2.165647752899414E-03,  7.564836741824410E-03, -7.983940052275009E-05,
2459622.500000000, A.D. 2022-Feb-12 00:00:00.0000,  4.758487038493446E+00, -1.480037514719929E+00, -1.003154613142083E-01,  2.153333329301092E-03,  7.568166715084028E-03, -7.961965080402918E-05,
2459623.500000000, A.D. 2022-Feb-13 00:00:00.0000,  4.760635115664229E+00, -1.472467503595281E+00, -1.003949519375082E-01,  2.142313479555100E-03,  7.572306558558998E-03, -7.935389784922250E-05,
2459624.500000000, A.D. 2022-Feb-14 00:00:00.0000,  4.762771116863232E+00, -1.464893925161369E+00, -1.004742145386207E-01,  2.130446391222208E-03,  7.574504512243033E-03, -7.917157534695801E-05,
2459625.500000000, A.D. 2022-Feb-15 00:00:00.0000,  4.764896479733149E+00, -1.457317398591627E+00, -1.005532468676111E-01,  2.119642488326189E-03,  7.578692285400493E-03, -7.889686232597088E-05,
2459626.500000000, A.D. 2022-Feb-16 00:00:00.0000,  4.767010527629030E+00, -1.449737290396390E+00, -1.006320324740636E-01,  2.108979980802550E-03,  7.581883153379281E-03, -7.865359406705078E-05,
2459627.500000000, A.D. 2022-Feb-17 00:00:00.0000,  4.769113578845497E+00, -1.442152801297008E+00, -1.007105381407146E-01,  2.096536532059283E-03,  7.586488433091860E-03, -7.838850211086457E-05,
2459628.500000000, A.D. 2022-Feb-18 00:00:00.0000,  4.771204473904382E+00, -1.434565082147573E+00, -1.007888226584068E-01,  2.085555202773173E-03,  7.589547769864181E-03, -7.815368179967737E-05,
2459629.500000000, A.D. 2022-Feb-19 00:00:00.0000,  4.773283752249305E+00, -1.426973546762319E+00, -1.008668529638400E-01,  2.073037955776622E-03,  7.592840329510731E-03, -7.793071778113262E-05,
2459630.500000000, A.D. 2022-Feb-20 00:00:00.0000,  4.775351480445052E+00, -1.419379152667702E+00, -1.009446618334065E-01,  2.062069819389057E-03,  7.596511427755017E-03, -7.767290490507207E-05,
2459631.500000000, A.D. 2022-Feb-21 00:00:00.0000,  4.777407132245463E+00, -1.411781357929980E+00, -1.010222409309142E-01,  2.049889660769908E-03,  7.598552725713447E-03, -7.749371379041197E-05,
2459632.500000000, A.D. 2022-Feb-22 00:00:00.0000,  4.779452026963070E+00, -1.404181085549414E+00, -1.010996015059825E-01,  2.039324710676251E-03,  7.602315523832776E-03, -7.722382613788145E-05,
2459633.500000000, A.D. 2022-Feb-23 00:00:00.0000,  4.781485690832179E+00, -1.396577470049869E+00, -1.011767157652057E-01,  2.028604122011862E-03,  7.605117913962105E-03, -7.698836892303085E-05,
2459634.500000000, A.D. 2022-Feb-24 00:00:00.0000,  4.783508637328855E+00, -1.388969828209219E+00, -1.012535515975083E-01,  2.016573445427719E-03,  7.609737675665321E-03, -7.670979542251200E-05,
2459635.500000000, A.D. 2022-Feb-25 00:00:00.0000,  4.785519498664733E+00, -1.381358957099248E+00, -1.013301590119772E-01,  2.005609694459853E-03,  7.612513552390778E-03, -7.647900713603078E-05,
2459636.500000000, A.D. 2022-Feb-26 00:00:00.0000,  4.787519001692190E+00, -1.373744367399836E+00, -1.014065059256378E-01,  1.993244434415392E-03,  7.616010856900008E-03, -7.624040739241782E-05,
2459637.500000000, A.D. 2022-Feb-27 00:00:00.0000,  4.789506945224038E+00, -1.366126929375794E+00, -1.014826257186753E-01,  1.982457070706378E-03,  7.619508176123738E-03, -7.597975063092643E-05,
2459638.500000000, A.D. 2022-Feb-28 00:00:00.0000,  4.791482961320206E+00, -1.358505927987697E+00, -1.015585015985499E-01,  1.970062906822279E-03,  7.621828730853737E-03, -7.578818074787495E-05,
2459639.500000000, A.D. 2022-Mar-01 00:00:00.0000,  4.793448043904586E+00, -1.350882514832724E+00, -1.016341586232416E-01,  1.959612603342228E-03,  7.625476709147364E-03, -7.551532716228581E-05,
2459640.500000000, A.D. 2022-Mar-02 00:00:00.0000,  4.795401843076109E+00, -1.343255662047396E+00, -1.017095610479232E-01,  1.948593404445803E-03,  7.628251032293743E-03, -7.527940906795918E-05,
2459641.500000000, A.D. 2022-Mar-03 00:00:00.0000,  4.797344894769799E+00, -1.335624907183101E+00, -1.017846836467343E-01,  1.936700156881655E-03,  7.633017575424280E-03, -7.498706507758791E-05,
2459642.500000000, A.D. 2022-Mar-04 00:00:00.0000,  4.799275622146554E+00, -1.327990764317316E+00, -1.018595694974039E-01,  1.925337156372156E-03,  7.635624571308361E-03, -7.476218842101687E-05,
2459643.500000000, A.D. 2022-Mar-05 00:00:00.0000,  4.801194861435025E+00, -1.320353030582671E+00, -1.019341949232735E-01,  1.912817036593749E-03,  7.639241393343136E-03, -7.451479476903223E-05,
2459644.500000000, A.D. 2022-Mar-06 00:00:00.0000,  4.803102185176336E+00, -1.312712563943395E+00, -1.020085954340840E-01,  1.901832648628804E-03,  7.642344877017512E-03, -7.426350829961846E-05,
2459645.500000000, A.D. 2022-Mar-07 00:00:00.0000,  4.804997482060371E+00, -1.305068660794360E+00, -1.020827504118204E-01,  1.889068060998210E-03,  7.644687091562658E-03, -7.406939253283551E-05,
2459646.500000000, A.D. 2022-Mar-08 00:00:00.0000,  4.806881483029075E+00, -1.297422711703727E+00, -1.021566980140802E-01,  1.878592817996304E-03,  7.647809471480542E-03, -7.380871765982207E-05,
2459647.500000000, A.D. 2022-Mar-09 00:00:00.0000,  4.808754145039776E+00, -1.289773612104895E+00, -1.022303950287352E-01,  1.867319810075782E-03,  7.650238576126391E-03, -7.358160111624944E-05,
2459648.500000000, A.D. 2022-Mar-10 00:00:00.0000,  4.810616104970555E+00, -1.282121107249100E+00, -1.023038217571040E-01,  1.855770026189661E-03,  7.654743337672935E-03, -7.328590507514837E-05,
2459649.500000000, A.D. 2022-Mar-11 00:00:00.0000,  4.812465783815109E+00, -1.274465332878776E+00, -1.023770082304671E-01,  1.844265189439123E-03,  7.656997020460931E-03, -7.306914639022218E-05,
2459650.500000000, A.D. 2022-Mar-12 00:00:00.0000,  4.814304151587320E+00, -1.266806300845500E+00, -1.024499369375865E-01,  1.832005282507083E-03,  7.660585564150742E-03, -7.281219299537838E-05,
2459651.500000000, A.D. 2022-Mar-13 00:00:00.0000,  4.816130629570877E+00, -1.259144667575304E+00, -1.025226382705211E-01,  1.821137479269765E-03,  7.663316897792337E-03, -7.256555285763968E-05,
2459652.500000000, A.D. 2022-Mar-14 00:00:00.0000,  4.817945358557754E+00, -1.251479670710141E+00, -1.025950858039336E-01,  1.808418017536718E-03,  7.665868216071598E-03, -7.235708408269794E-05,
2459653.500000000, A.D. 2022-Mar-15 00:00:00.0000,  4.819748716496782E+00, -1.243812730974214E+00, -1.026673251067652E-01,  1.798119038101866E-03,  7.668704782775293E-03, -7.209858808486611E-05,
2459654.500000000, A.D. 2022-Mar-16 00:00:00.0000,  4.821540898523985E+00, -1.236142634154271E+00, -1.027393056871985E-01,  1.786746758518358E-03,  7.671190431196834E-03, -7.186536106477765E-05,
2459655.500000000, A.D. 2022-Mar-17 00:00:00.0000,  4.823322455331745E+00, -1.228469268421003E+00, -1.028110138779903E-01,  1.775548420115810E-03,  7.675727146653317E-03, -7.155727607764656E-05,
2459656.500000000, A.D. 2022-Mar-18 00:00:00.0000,  4.825091754592924E+00, -1.220792383840115E+00, -1.028824668575297E-01,  1.763751393009146E-03,  7.678042309188060E-03, -7.133731495714263E-05,
2459657.500000000, A.D. 2022-Mar-19 00:00:00.0000,  4.826849696449880E+00, -1.213112274021931E+00, -1.029536583992048E-01,  1.751544539147864E-03,  7.681835684769849E-03, -7.106641353154852E-05,
2459658.500000000, A.D. 2022-Mar-20 00:00:00.0000,  4.828595493297942E+00, -1.205429442501898E+00, -1.030246158471212E-01,  1.740394873289157E-03,  7.684376729592396E-03, -7.082410511741230E-05,
2459659.500000000, A.D. 2022-Mar-21 00:00:00.0000,  4.830329460912395E+00, -1.197743261299230E+00, -1.030953142998725E-01,  1.727422692842556E-03,  7.687174760455780E-03, -7.060382851642431E-05,
2459660.500000000, A.D. 2022-Mar-22 00:00:00.0000,  4.832051604173961E+00, -1.190055235104509E+00, -1.031658083238273E-01,  1.716873328528876E-03,  7.689596048568057E-03, -7.035750187664550E-05,
2459661.500000000, A.D. 2022-Mar-23 00:00:00.0000,  4.833762413756809E+00, -1.182364246367611E+00, -1.032360462662225E-01,  1.705136494846335E-03,  7.691946297570221E-03, -7.012761193433574E-05,
2459662.500000000, A.D. 2022-Mar-24 00:00:00.0000,  4.835462393001521E+00, -1.174670407758860E+00, -1.033060225263981E-01,  1.694089265269758E-03,  7.696105220500906E-03, -6.982313074812160E-05,
2459663.500000000, A.D. 2022-Mar-25 00:00:00.0000,  4.837150066135307E+00, -1.166973168691446E+00, -1.033757411365549E-01,  1.681953092810940E-03,  7.698174484043797E-03, -6.961000031316316E-05,
2459664.500000000, A.D. 2022-Mar-26 00:00:00.0000,  4.838826326761307E+00, -1.159273119814587E+00, -1.034452069773155E-01,  1.669924563685270E-03,  7.701751893347495E-03, -6.933701866682535E-05,
2459665.500000000, A.D. 2022-Mar-27 00:00:00.0000,  4.840490371280154E+00, -1.151570546261125E+00, -1.035144395182390E-01,  1.658660775219685E-03,  7.703829691787636E-03, -6.910544302701976E-05,
2459666.500000000, A.D. 2022-Mar-28 00:00:00.0000,  4.842142771256420E+00, -1.143864932007679E+00, -1.035834138081379E-01,  1.645829951731543E-03,  7.706660149350323E-03, -6.887469214707310E-05,
2459667.500000000, A.D. 2022-Mar-29 00:00:00.0000,  4.843783246607884E+00, -1.136157662451959E+00, -1.036521853808347E-01,  1.635328740148203E-03,  7.708594215206644E-03, -6.863892748318649E-05,
2459668.500000000, A.D. 2022-Mar-30 00:00:00.0000,  4.845412606017640E+00, -1.128447655229897E+00, -1.037206996027934E-01,  1.623635937672839E-03,  7.710910143619498E-03, -6.840358619886872E-05,
2459669.500000000, A.D. 2022-Mar-31 00:00:00.0000,  4.847031242061774E+00, -1.120735070697780E+00, -1.037889541329705E-01,  1.613024378272209E-03,  7.714813945368120E-03, -6.809543388142506E-05,
