date,x,y,z,vx,vy,vz
A.D. 2024-Sep-01 00:00:00.0000,0.2971179452015372,0.1410526825434215,-0.01572540109011536,-0.01754671432416799,0.02665859478573573,0.003788004080007062
A.D. 2024-Sep-02 00:00:00.0000,0.2783484038990025,0.1670814388115561,-0.01187670745829865,-0.01998233560255507,0.02535340880895315,0.003904743906514787
A.D. 2024-Sep-03 00:00:00.0000,0.2571795749226518,0.1916679084156847,-0.00792581066985974,-0.0223389510993132,0.02377365478896679,0.003991799039163255
A.D. 2024-Sep-04 00:00:00.0000,0.2337099369697509,0.2145375171781784,-0.00390418202360044,-0.02457719938463108,0.02192045136195912,0.004045650567412455
A.D. 2024-Sep-05 00:00:00.0000,0.2080783480356492,0.2354203741131461,0.0001533862099860301,-0.02665592583721807,0.01980220805373316,0.004063210926009118
A.D. 2024-Sep-06 00:00:00.0000,0.1804650462185157,0.2540589891499347,0.004209319695112241,-0.02853382943951657,0.01743541506272395,0.004042039485249498
A.D. 2024-Sep-07 00:00:00.0000,0.15109083487043,0.2702165630907177,0.008224014237088755,-0.03017142772682065,0.01484497297393822,0.003980549725660757
A.D. 2024-Sep-08 00:00:00.0000,0.1202142040494729,0.2836853211555519,0.01215678083834832,-0.0315331886241146,0.01206393272419822,0.003878183524994948
A.D. 2024-Sep-09 00:00:00.0000,0.08812632187277784,0.2942942597162089,0.01596693817746202,-0.03258962051856225,0.009132577288504388,0.003735527819067048
A.D. 2024-Sep-10 00:00:00.0000,0.05514405539873741,0.3019156495342596,0.01961498420451659,-0.03331908328258282,0.006096864427704396,0.003554353452562971
A.D. 2024-Sep-11 00:00:00.0000,0.02160141511055734,0.3064697073749129,0.02306376264492287,-0.03370909627359034,0.003006348247567919,0.003337565299064232
A.D. 2024-Sep-12 00:00:00.0000,-0.01215998458341761,0.3079270107843051,0.02627953532491756,-0.03375697767252152,-8.821633952844098e-05,0.003089065136174783
A.D. 2024-Sep-13 00:00:00.0000,-0.04580073529808958,0.3063084646222709,0.02923287922947471,-0.03346974291511109,-0.003137329909386379,0.002813541597684599
A.D. 2024-Sep-14 00:00:00.0000,-0.0789929829232834,0.3016828907731907,0.03189934697517189,-0.03286329749996508,-0.006095004656233839,0.002516211761924386
A.D. 2024-Sep-15 00:00:00.0000,-0.1114286675045396,0.2941625553893014,0.03425985707289971,-0.03196105601726298,-0.00892060263455914,0.002202544262043181
A.D. 2024-Sep-16 00:00:00.0000,-0.1428261755754108,0.283897128881975,0.03630081049872233,-0.03079218401751831,-0.01158011627803927,0.001877993380095922
A.D. 2024-Sep-17 00:00:00.0000,-0.1729351373773969,0.2710666681051552,0.03801395720142883,-0.02938968215912717,-0.01404684298501715,0.001547768192240024
A.D. 2024-Sep-18 00:00:00.0000,-0.2015393152869223,0.2558742149433224,0.03939605618288926,-0.02778851507358064,-0.01630148967339107,0.0012166523992109
A.D. 2024-Sep-19 00:00:00.0000,-0.2284577112732731,0.2385385366098871,0.04044838380424561,-0.02602394204537354,-0.01833180463266876,0.0008888812976548801
A.D. 2024-Sep-20 00:00:00.0000,-0.2535441495946881,0.2192874169484627,0.04117614726582892,-0.02413014828968419,-0.02013186650053677,0.0005680743432855484
A.D. 2024-Sep-21 00:00:00.0000,-0.2766856605331107,0.1983517734447579,0.04158785559352605,-0.02213921836741595,-0.02170116569352444,0.0002572160566642329
A.D. 2024-Sep-22 00:00:00.0000,-0.2978000080462794,0.1759607452439643,0.04169469145497723,-0.02008044662682708,-0.02304359919070787,-4.132507719180036e-05
A.D. 2024-Sep-23 00:00:00.0000,-0.3168326819038907,0.1523377888052718,0.04150991620237358,-0.017979947726836,-0.0241664739356663,-0.0003257508892540982
A.D. 2024-Sep-24 00:00:00.0000,-0.3337536282288082,0.1276977370761513,0.04104832966124223,-0.01586051317249078,-0.02507958505264036,-0.0005947713559932401
A.D. 2024-Sep-25 00:00:00.0000,-0.3485539348751439,0.1022447257159783,0.04032579663319513,-0.01374165465013596,-0.02579440804869943,-0.0008475346102427107
A.D. 2024-Sep-26 00:00:00.0000,-0.3612426298925321,0.07617086220646645,0.03935884448093695,-0.01163977807427081,-0.0263234221858315,-0.001083555682241257
A.D. 2024-Sep-27 00:00:00.0000,-0.3718436988940438,0.04965550499431017,0.03816433064431666,-0.009568440094236456,-0.02667956622431503,-0.001302648494812059
A.D. 2024-Sep-28 00:00:00.0000,-0.3803933836981288,0.02286502420924171,0.03675917531052986,-0.007538648550560191,-0.02687581740927933,-0.001504863898968177
A.D. 2024-Sep-29 00:00:00.0000,-0.3869377910349043,-0.004047072186221107,0.0351601523877702,-0.005559178119609516,-0.02692487887300911,-0.001690435176288338
A.D. 2024-Sep-30 00:00:00.0000,-0.3915308157978892,-0.03093974675271445,0.03338373102633132,-0.003636881054592727,-0.02683895833606364,-0.00185973145213007
A.D. 2024-Oct-01 00:00:00.0000,-0.3942323669245827,-0.05768385810120952,0.03144595983859815,-0.001776980044464982,-0.02662962097540773,-0.002013218810061158
A.D. 2024-Oct-02 00:00:00.0000,-0.3951068738831838,-0.08416146971371725,0.02936238639434845,1.66643076744615e-05,-0.02630770066677088,-0.002151428504675562
A.D. 2024-Oct-03 00:00:00.0000,-0.3942220463553435,-0.110265093360931,0.02714800528465643,0.001741314891957896,-0.02588325582517599,-0.002274931468507238
A.D. 2024-Oct-04 00:00:00.0000,-0.3916478576681395,-0.1358969057591401,0.02481722889556004,0.00339514913716105,-0.02536555830667836,-0.002384318239225652
A.D. 2024-Oct-05 00:00:00.0000,-0.387455722737135,-0.1609679666753795,0.02238387590442145,0.004977078664691134,-0.02476310601608195,-0.002480183448166043
A.D. 2024-Oct-06 00:00:00.0000,-0.3817178428921188,-0.1853974583418714,0.0198611733417625,0.006486595462878507,-0.02408365183750895,-0.002563114075294129
A.D. 2024-Oct-07 00:00:00.0000,-0.3745066923531241,-0.2091119595298652,0.01726176881320668,0.007923641948407249,-0.02333424320072413,-0.002633680764327346
A.D. 2024-Oct-08 00:00:00.0000,-0.3658946238788315,-0.2320447626730309,0.01459775013414435,0.009288502085660136,-0.02252126800300347,-0.002692431588724579
A.D. 2024-Oct-09 00:00:00.0000,-0.3559535739389305,-0.2541352387392986,0.01188067019091784,0.01058171076326443,-0.02165050374131948,-0.002739887754623648
A.D. 2024-Oct-10 00:00:00.0000,-0.3447548504893509,-0.2753282518708356,0.009121575311430307,0.01180397879040607,-0.02072716760473257,-0.002776540814932515
A.D. 2024-Oct-11 00:00:00.0000,-0.3323689889529344,-0.2955736239232822,0.006331035813894181,0.01295613111105586,-0.0197559659693082,-0.002802851046974285
A.D. 2024-Oct-12 00:00:00.0000,-0.318865664278171,-0.3148256477532853,0.00351917771542381,0.01403905610032044,-0.0187411422643232,-0.002819246713512109
A.D. 2024-Oct-13 00:00:00.0000,-0.3043136489489987,-0.3330426472788102,0.0006957148330404537,0.01505366407698815,-0.01768652257230835,-0.002826123983912736
A.D. 2024-Oct-14 00:00:00.0000,-0.2887808085543238,-0.3501865818517744,-0.002130019291513244,0.0160008534239236,-0.01659555861532115,-0.002823847339520419
A.D. 2024-Oct-15 00:00:00.0000,-0.2723341280140177,-0.3662226922456425,-0.004949040055901241,0.01688148294450835,-0.01547136798965374,-0.002812750326155035
A.D. 2024-Oct-16 00:00:00.0000,-0.2550397628220149,-0.3811191855017586,-0.00775268134227937,0.01769634929488274,-0.01431677166033175,-0.002793136548242071
A.D. 2024-Oct-17 00:00:00.0000,-0.2369631107323943,-0.3948469559447231,-0.01053256614308213,0.01844616851744881,-0.01313432883066159,-0.002765280824606118
A.D. 2024-Oct-18 00:00:00.0000,-0.2181689002064495,-0.4073793398300734,-0.0132805783979277,0.01913156086193793,-0.01192636937279717,-0.002729430446491529
A.D. 2024-Oct-19 00:00:00.0000,-0.1987212926816345,-0.4186919012985859,-0.01598883612116594,0.01975303821837036,-0.01069502405215422,-0.002685806494862822
A.D. 2024-Oct-20 00:00:00.0000,-0.1786839963384896,-0.4287622475605669,-0.01864966586351794,0.0203109936039967,-0.009442252808645104,-0.002634605187302613
A.D. 2024-Oct-21 00:00:00.0000,-0.1581203895480953,-0.4375698715066466,-0.02125557852712605,0.02080569224655612,-0.008169871376564436,-0.002575999235560528
A.D. 2024-Oct-22 00:00:00.0000,-0.1370936525964131,-0.445096020229717,-0.02379924653892246,0.02123726389165329,-0.006879576536621134,-0.002510139203599087
A.D. 2024-Oct-23 00:00:00.0000,-0.1156669066165059,-0.4513235882401569,-0.02627348238084499,0.02160569603537134,-0.005572970301155922,-0.002437154863323841
A.D. 2024-Oct-24 00:00:00.0000,-0.09390335892598288,-0.4562370344604578,-0.02867121847583738,0.0219108278468862,-0.004251583339301877,-0.002357156551490424
A.D. 2024-Oct-25 00:00:00.0000,-0.07186645417357515,-0.459822322394875,-0.030985488434922,0.02215234460216009,-0.002916897954443162,-0.002270236536903571
A.D. 2024-Oct-26 00:00:00.0000,-0.04962003085173729,-0.4620668831853103,-0.03320940968238648,0.02232977250098502,-0.001570370933060618,-0.002176470412269372
A.D. 2024-Oct-27 00:00:00.0000,-0.0272284828356321,-0.462959601587914,-0.03533616749305911,0.02244247378785878,-0.0002134565928297664,-0.002075918530201358
A.D. 2024-Oct-28 00:00:00.0000,-0.00475692566471517,-0.4624908252382325,-0.03735900049776377,0.02248964214453065,0.001152369630719812,-0.00196862750815979
A.D. 2024-Oct-29 00:00:00.0000,0.01772863270883186,-0.4606523979190231,-0.03927118774060947,0.02247029837071752,0.002525586705190721,-0.001854631832751138
A.D. 2024-Oct-30 00:00:00.0000,0.04016111702280404,-0.4574377179072114,-0.04106603740525636,0.02238328642175707,0.003904602258503909,-0.001733955600051182
A.D. 2024-Oct-31 00:00:00.0000,0.06247220607412199,-0.4528418228580118,-0.0427368773674091,0.02222726993031887,0.00528772518016463,-0.001606614435657731
A.D. 2024-Nov-01 00:00:00.0000,0.08459215092960251,-0.4468615030877782,-0.04427704777843044,0.02200072940650877,0.006673136151274399,-0.00147261764624129
A.D. 2024-Nov-02 00:00:00.0000,0.1064495907863256,-0.4394954455448193,-0.04567989594127429,0.02170196038991247,0.008058855663128134,-0.001331970663656556
A.D. 2024-Nov-03 00:00:00.0000,0.127971367609055,-0.4307444112101042,-0.04693877380623578,0.02132907292191981,0.009442709059319768,-0.00118467785340919
A.D. 2024-Nov-04 00:00:00.0000,0.1490823410959259,-0.4206114491465072,-0.04804703849184722,0.02087999282115689,0.01082228811361661,-0.001030745771625409
A.D. 2024-Nov-05 00:00:00.0000,0.1697052060736308,-0.4091021509121103,-0.04899805632730327,0.02035246538371527,0.01219490863891833,-0.0008701869687936188
A.D. 2024-Nov-06 00:00:00.0000,0.1897603151265669,-0.3962249495620299,-0.04978521101889746,0.01974406229835927,0.01355756361637895,-0.0007030244545111155
A.D. 2024-Nov-07 00:00:00.0000,0.2091655101533309,-0.3819914679702455,-0.05040191666592055,0.01905219277077774,0.01490687134528428,-0.0005292969552279919
A.D. 2024-Nov-08 00:00:00.0000,0.2278359676569765,-0.366416921685576,-0.05084163649300744,0.0182741200962817,0.0162390181533189,-0.0003490651162905127
A.D. 2024-Nov-09 00:00:00.0000,0.2456840639570276,-0.3495205819604318,-0.05109790832732659,0.01740698521307503,0.01754969528678729,-0.0001624188199004063
A.D. 2024-Nov-10 00:00:00.0000,0.2626192682114321,-0.3313263049078055,-0.05116437803084005,0.01644783911342837,0.01883402973914691,3.051418907825779e-05
A.D. 2024-Nov-11 00:00:00.0000,0.2785480732096531,-0.311863132880942,-0.0510348422993465,0.01539368639078983,0.02008650899765251,0.0002295581588831649
A.D. 2024-Nov-12 00:00:00.0000,0.2933739763994046,-0.2911659740337985,-0.05070330245828614,0.01424154265611568,0.02130090002289262,0.0004344774432347597
A.D. 2024-Nov-13 00:00:00.0000,0.3069975265904981,-0.2692763654763516,-0.05016403111421633,0.01298850905870086,0.02247016326375822,0.0006449626392054183
A.D. 2024-Nov-14 00:00:00.0000,0.3193164552783553,-0.2462433243108011,-0.04941165374958994,0.01163186767669099,0.02358636319940329,0.0008606145271587082
A.D. 2024-Nov-15 00:00:00.0000,0.3302259155586708,-0.2221242888933692,-0.04844124755932143,0.01016920206450875,0.02464057784775079,0.001080925618929268
A.D. 2024-Nov-16 00:00:00.0000,0.3396188561278226,-0.1969861496206006,-0.04724845999355,0.00859854769805004,0.02562281095231166,0.001305259182764282
A.D. 2024-Nov-17 00:00:00.0000,0.3473865627680903,-0.1709063640305554,-0.04582964955239415,0.006918577348160938,0.02652191222341071,0.001532825722968856
A.D. 2024-Nov-18 00:00:00.0000,0.3534194047717987,-0.1439741446144026,-0.04418205131955884,0.005128826396054799,0.02732551312707843,0.001762657066727554
A.D. 2024-Nov-19 00:00:00.0000,0.3576078285619257,-0.1162916989787695,-0.04230396944679791,0.003229962578572095,0.02801998832088662,0.001993578471728602
A.D. 2024-Nov-20 00:00:00.0000,0.3598436446792669,-0.08797549039746497,-0.0401949982120654,0.001224103343401942,0.02859045591391666,0.00222417953967243
A.D. 2024-Nov-21 00:00:00.0000,0.3600216563781675,-0.05915747191694372,-0.03785627224878294,-0.0008848184428775316,0.02902083316574913,0.002452785225223568
A.D. 2024-Nov-22 00:00:00.0000,0.3580416769740081,-0.02998622879028328,-0.03529074494012828,-0.003090643667040143,0.02929396777181871,0.002677428883344664
A.D. 2024-Nov-23 00:00:00.0000,0.3538109770616993,-0.0006279422375372168,-0.03250349164014057,-0.005384540198414598,0.02939186802035116,0.00289583009958268
A.D. 2024-Nov-24 00:00:00.0000,0.347247189616852,0.02873293687284025,-0.02950203118693183,-0.007754537622661458,0.02929605706081883,0.003105380966296075
A.D. 2024-Nov-25 00:00:00.0000,0.3382816783774182,0.05789344113211602,-0.02629665503108064,-0.01018507166255349,0.02898807615236388,0.003303145422113286
A.D. 2024-Nov-26 00:00:00.0000,0.3268633404286001,0.08663242636154898,-0.02290074824727028,-0.01265657935017735,0.02845015757234743,0.003485877111219827
A.D. 2024-Nov-27 00:00:00.0000,0.3129627658873294,0.1147116742738767,-0.01933108095540013,-0.01514519997949668,0.02766607815413072,0.00365006170631912
