date,x,y,z,vx,vy,vz
A.D. 2026-Feb-06 00:00:00.0000,-0.7191864238003783,0.6745833566731954,-3.503187843413255e-05,-0.01204977746297412,-0.01260605005425784,1.402728956388654e-06
A.D. 2026-Feb-07 00:00:00.0000,-0.7311253895984265,0.6618737144294733,-3.366306282287397e-05,-0.01182753927681248,-0.01281261749095499,1.33085625959577e-06
A.D. 2026-Feb-08 00:00:00.0000,-0.7428402759182846,0.6489593730164255,-3.23773409810729e-05,-0.0116016222784951,-0.01301543087245329,1.237454963986263e-06
A.D. 2026-Feb-09 00:00:00.0000,-0.7543274175618802,0.6358441392722549,-3.119352725783558e-05,-0.01137205587509962,-0.01321438451033793,1.127922594035234e-06
A.D. 2026-Feb-10 00:00:00.0000,-0.7655831846819131,0.6225319257187104,-3.012514387546711e-05,-0.01113888077821366,-0.01340937301993197,1.007439742034351e-06
A.D. 2026-Feb-11 00:00:00.0000,-0.7766039924323402,0.6090267497313987,-2.918062896780793e-05,-0.01090214581642742,-0.01360029203976597,8.810122880260843e-07
A.D. 2026-Feb-12 00:00:00.0000,-0.7873863079024118,0.5953327328672016,-2.836344303929028e-05,-0.01066190578718572,-0.01378703731958308,7.536187121053826e-07
A.D. 2026-Feb-13 00:00:00.0000,-0.7979266556124143,0.5814541016133812,-2.767200806839936e-05,-0.01041822077735244,-0.01396950291147666,6.30385361266118e-07
A.D. 2026-Feb-14 00:00:00.0000,-0.808221623151941,0.5673951900855025,-2.709948677022425e-05,-0.01017115714258583,-0.01414757920748736,5.167194955776976e-07
A.D. 2026-Feb-15 00:00:00.0000,-0.81826786862686,0.5531604444388132,-2.663347795175142e-05,-0.009920790119768347,-0.01432115161163263,4.183331567518023e-07
A.D. 2026-Feb-16 00:00:00.0000,-0.8280621314144787,0.5387544279433272,-2.625576843684522e-05,-0.00966720774378919,-0.01449010067852512,3.410971871238323e-07
A.D. 2026-Feb-17 00:00:00.0000,-0.837601247191741,0.5241818248659382,-2.59423336344873e-05,-0.009410515310005491,-0.01465430446470263,2.906865578318046e-07
A.D. 2026-Feb-18 00:00:00.0000,-0.846882167206978,0.509447440714466,-2.566379616507078e-05,-0.009150839164490247,-0.01481364346534009,2.720257714216121e-07
A.D. 2026-Feb-19 00:00:00.0000,-0.8559019803974076,0.4945561963586456,-2.538650945185917e-05,-0.008888328366298827,-0.01496800779310532,2.88612801334323e-07
A.D. 2026-Feb-20 00:00:00.0000,-0.8646579355830644,0.479513114324444,-2.507431979403425e-05,-0.008623153035928671,-0.01511730538423582,3.418660988776927e-07
A.D. 2026-Feb-21 00:00:00.0000,-0.8731474601671465,0.4643232971161506,-2.469089925726746e-05,-0.008355499057816147,-0.01526146941645714,4.306622925697168e-07
A.D. 2026-Feb-22 00:00:00.0000,-0.8813681720003013,0.4489918992617449,-2.420239065878796e-05,-0.00808555992150111,-0.01540046320398305,5.511877966355743e-07
A.D. 2026-Feb-23 00:00:00.0000,-0.8893178822987691,0.4335240961629655,-2.358002779385888e-05,-0.007813527280945044,-0.01553428162479728,6.971327875652359e-07
A.D. 2026-Feb-24 00:00:00.0000,-0.8969945891811268,0.4179250532489988,-2.28024142402156e-05,-0.007539581870379035,-0.01566294917822974,8.601641529439969e-07
A.D. 2026-Feb-25 00:00:00.0000,-0.9043964627731734,0.4021998984414259,-2.185723287565843e-05,-0.007263885837988785,-0.01578651545920481,1.030574000884546e-06
A.D. 2026-Feb-26 00:00:00.0000,-0.9115218235291088,0.3863537000752366,-2.074225613005209e-05,-0.006986576863172796,-0.01590504888659546,1.198019141867974e-06
