API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sun Apr  5 18:55:13 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mercury (199)                   {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2022-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2026-Dec-31 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2459620.500000000, A.D. 2022-Feb-10 00:00:00.0000, -3.890543994244967E-01, -1.525470740730422E-01,  2.322083222341848E-02,  4.450032550319567E-03, -2.497586428451913E-02, -2.449180448814725E-03,
2459621.500000000, A.D. 2022-Feb-11 00:00:00.0000, -3.838313054187439E-01, -1.772021535150815E-01,  2.072695510835449E-02,  5.984077371039193E-03, -2.432166496229949E-02, -2.536433812694493E-03,
2459622.500000000, A.D. 2022-Feb-12 00:00:00.0000, -3.771104116853559E-01, -2.011663229746409E-01,  1.815214924276819E-02,  7.445633647985768E-03, -2.359520004071824E-02, -2.611132544590377E-03,
2459623.500000000, A.D. 2022-Feb-13 00:00:00.0000, -3.689641445144154E-01, -2.243706737664433E-01,  1.550868922548505E-02,  8.834880009572263E-03, -2.280307471901936E-02, -2.673832798177278E-03,
2459624.500000000, A.D. 2022-Feb-14 00:00:00.0000, -3.594646043809493E-01, -2.467525847198032E-01,  1.280830596141237E-02,  1.015227482964546E-02, -2.195126708086123E-02, -2.725065140324204E-03,
2459625.500000000, A.D. 2022-Feb-15 00:00:00.0000, -3.486833274672385E-01, -2.682551199876210E-01,  1.006221399692428E-02,  1.139847622479488E-02, -2.104517804854817E-02, -2.765331294850753E-03,
2459626.500000000, A.D. 2022-Feb-16 00:00:00.0000, -3.366911199916192E-01, -2.888264768635025E-01,  7.281141446994182E-03,  1.257427605062926E-02, -2.008968120287471E-02, -2.795102159396527E-03,
2459627.500000000, A.D. 2022-Feb-17 00:00:00.0000, -3.235579524805390E-01, -3.084194828343333E-01,  4.475361397299769E-03,  1.368054567046270E-02, -1.908917127549638E-02, -2.814816793667239E-03,
2459628.500000000, A.D. 2022-Feb-18 00:00:00.0000, -3.093529032118570E-01, -3.269911401307486E-01,  1.654723935202119E-03,  1.471819154050631E-02, -1.804761055590111E-02, -2.824882137708801E-03,
2459629.500000000, A.D. 2022-Feb-19 00:00:00.0000, -2.941441418806403E-01, -3.445022154493348E-01, -1.171311821158151E-03,  1.568811891854549E-02, -1.696857277713427E-02, -2.825673269295311E-03,
2459630.500000000, A.D. 2022-Feb-20 00:00:00.0000, -2.779989461077818E-01, -3.609168722081711E-01, -3.993646156959288E-03,  1.659120224727402E-02, -1.585528427893671E-02, -2.817534051079665E-03,
2459631.500000000, A.D. 2022-Feb-21 00:00:00.0000, -2.609837447483990E-01, -3.762023425846716E-01, -6.803507987492656E-03,  1.742826098360353E-02, -1.471066241473252E-02, -2.800778052059940E-03,
2459632.500000000, A.D. 2022-Feb-22 00:00:00.0000, -2.431641830863280E-01, -3.903286366135628E-01, -9.592425105920023E-03,  1.820003983961388E-02, -1.353735128663017E-02, -2.775689655362300E-03,
2459633.500000000, A.D. 2022-Feb-23 00:00:00.0000, -2.246052059487986E-01, -4.032682857500091E-01, -1.235219560371746E-02,  1.890719256982540E-02, -1.233775497339726E-02, -2.742525286447372E-03,
2459634.500000000, A.D. 2022-Feb-24 00:00:00.0000, -2.053711555661082E-01, -4.149961184967525E-01, -1.507486055883886E-02,  1.955026858491319E-02, -1.111406847042320E-02, -2.701514713604876E-03,
2459635.500000000, A.D. 2022-Feb-25 00:00:00.0000, -1.855258816571943E-01, -4.254890659320227E-01, -1.775267804589182E-02,  2.012970179627097E-02, -9.868306595822572E-03, -2.652862386873521E-03,
2459636.500000000, A.D. 2022-Feb-26 00:00:00.0000, -1.651328617632555E-01, -4.347259952410871E-01, -2.037809849471723E-02,  2.064580120167596E-02, -8.602331139012109E-03, -2.596748793044521E-03,
2459637.500000000, A.D. 2022-Feb-27 00:00:00.0000, -1.442553302950492E-01, -4.426875696380574E-01, -2.294374140627334E-02,  2.109874281245959E-02, -7.317876541824000E-03, -2.533331813798442E-03,
2459638.500000000, A.D. 2022-Feb-28 00:00:00.0000, -1.229564151195407E-01, -4.493561333592696E-01, -2.544237342577945E-02,  2.148856259972355E-02, -6.016574410882759E-03, -2.462748081808768E-03,
2459639.500000000, A.D. 2022-Mar-01 00:00:00.0000, -1.012992807999502E-01, -4.547156207114714E-01, -2.786688777129889E-02,  2.181515020378810E-02, -4.699977166108006E-03, -2.385114336260032E-03,
2459640.500000000, A.D. 2022-Mar-02 00:00:00.0000, -7.934727782919804E-02, -4.587514884656504E-01, -3.021028502034617E-02,  2.207824320960150E-02, -3.369581135697451E-03, -2.300528785047322E-03,
2459641.500000000, A.D. 2022-Mar-03 00:00:00.0000, -5.716409736728560E-02, -4.614506712007002E-01, -3.246565526707426E-02,  2.227742184352648E-02, -2.026849414188614E-03, -2.209072486266806E-03,
2459642.500000000, A.D. 2022-Mar-04 00:00:00.0000, -3.481393111301519E-02, -4.628015595215478E-01, -3.462616167778210E-02,  2.241210399590956E-02, -6.732348082108046E-04, -2.110810766755703E-03,
2459643.500000000, A.D. 2022-Mar-05 00:00:00.0000, -1.236163601229824E-02, -4.627940014059937E-01, -3.668502549283294E-02,  2.248154052125421E-02,  6.897967949649730E-04, -2.005794700646916E-03,
2459644.500000000, A.D. 2022-Mar-06 00:00:00.0000,  1.012709647037541E-02, -4.614193272760842E-01, -3.863551254875409E-02,  2.248481081580372E-02,  2.060742287535122E-03, -1.894062676403096E-03,
